(0, 6):for 	 p.Purpose
(1, 1):My 	 p.SocialRel
(2, 6):for 	 p.Cost
(3, 6):of 	 p.Topic
(4, 4):my 	 p.Originator
(4, 11):from 	 p.Originator
(5, 6):to 	 p.Recipient
(6, 29):of 	 p.Cost
(7, 7):for 	 p.Cost
(8, 9):my 	 p.Possessor
(8, 19):to 	 p.Purpose
(9, 8):my 	 p.Gestalt
(10, 16):to 	 p.ComparisonRef
(11, 3):for 	 p.Theme
(11, 7):on 	 p.Locus
(11, 8):my 	 p.Possessor
(12, 8):on 	 p.Locus
(13, 16):to 	 p.Purpose
(13, 18):our 	 p.Possessor
(14, 4):for 	 p.Theme
(14, 7):with 	 p.Characteristic
(14, 10):as 	 p.Explanation
(14, 11):our 	 p.OrgMember
(15, 11):to 	 p.Goal
(16, 4):with 	 p.Manner
(17, 4):their 	 p.Gestalt
(18, 12):as 	 p.ComparisonRef
(19, 5):with 	 p.Ancillary
(19, 7):to 	 p.Purpose
(20, 5):to 	 p.Purpose
(21, 5):to 	 p.Recipient
(21, 14):at 	 p.Cost
(22, 5):for 	 p.Duration
(22, 7):in 	 p.Identity
(23, 3):MY 	 p.OrgMember
(24, 7):to 	 p.Experiencer
(24, 10):of 	 p.QuantityItem
(25, 5):about 	 p.Topic
(25, 8):in 	 p.Locus
(26, 11):into 	 p.Goal
(26, 18):on 	 p.Theme
(26, 19):your 	 p.Whole
(26, 31):to 	 p.Goal
(27, 4):at 	 p.Time
(27, 5):about 	 p.Approximator
(28, 6):to 	 p.Purpose
(28, 10):my 	 p.SocialRel
(28, 15):in 	 p.Direction
(29, 11):to 	 p.Goal
(29, 14):to 	 p.Purpose
(29, 27):in 	 p.Direction
(30, 5):away 	 p.Locus
(30, 8):my 	 p.Possessor
(31, 1):At 	 p.Time
(32, 3):of 	 p.QuantityItem
(33, 1):My 	 p.OrgMember
(34, 2):my 	 p.Gestalt
(34, 12):about 	 p.Topic
(34, 13):my 	 p.SocialRel
(34, 17):in 	 p.Locus
(34, 22):in 	 p.Locus
(35, 11):with 	 p.Theme
(35, 13):of 	 p.Species
(36, 1):My 	 p.Gestalt
(37, 3):my 	 p.Possessor
(37, 5):to 	 p.Purpose
(37, 8):about 	 p.Topic
(37, 9):my 	 p.SocialRel
(37, 11):at 	 p.Locus
(38, 6):with 	 p.Org
(39, 2):your 	 p.Agent
(40, 5):from 	 p.Originator
(40, 10):with 	 p.SocialRel
(40, 12):before 	 p.Time
(40, 13):in 	 p.Circumstance
(41, 5):in 	 p.Circumstance
(42, 5):down 	 p.Path
(42, 9):from 	 p.Source
(42, 11):with 	 p.Ancillary
(42, 12):my 	 p.SocialRel
(42, 20):on 	 p.Locus
(42, 24):of 	 p.Whole
(43, 8):at 	 p.Time
(43, 10):on 	 p.Time
(44, 9):my 	 p.Possessor
(44, 12):in 	 p.Locus
(44, 14):within 	 p.Duration
(44, 26):off 	 p.Direction
(44, 27):my 	 p.Possessor
(44, 52):to 	 p.Goal
(44, 53):their 	 p.OrgMember
(44, 55):to 	 p.Purpose
(45, 3):back 	 p.Locus
(45, 19):by 	 p.Time
(46, 3):for 	 p.Explanation
(46, 5):of 	 p.QuantityItem
(46, 6):your 	 p.Agent
(46, 13):your 	 p.OrgMember
(47, 29):as 	 p.ComparisonRef
(47, 30):my 	 p.SocialRel
(47, 33):in 	 p.Locus
(47, 35):'s 	 p.Gestalt
(47, 37):for 	 p.Theme
(47, 39):on 	 p.Goal
(48, 8):in 	 p.Time
(49, 13):in 	 p.Locus
(50, 8):to 	 p.Goal
(51, 6):to 	 p.Purpose
(51, 8):to 	 p.Goal
(51, 9):around 	 p.Locus
(52, 8):with 	 p.Circumstance
(52, 12):of 	 p.Theme
(53, 14):my 	 p.OrgMember
(54, 13):to 	 p.Recipient
(55, 8):w 	 p.Topic
(56, 1):During 	 p.Time
(56, 9):my 	 p.Gestalt
(56, 19):as 	 p.Explanation
(56, 23):in 	 p.Locus
(57, 10):my 	 p.Gestalt
(57, 13):for 	 p.Explanation
(57, 25):during 	 p.Time
(57, 26):our 	 p.Agent
(58, 4):about 	 p.Topic
(58, 7):my 	 p.Agent
(58, 10):afterward 	 p.Time
(59, 8):to 	 p.Purpose
(59, 10):my 	 p.Experiencer
(59, 12):by 	 p.Means
(60, 8):my 	 p.Gestalt
(61, 5):of 	 p.Whole
(62, 14):for 	 p.Beneficiary
(62, 16):to 	 p.Goal
(63, 6):for 	 p.Org
(64, 5):for 	 p.Beneficiary
(64, 16):with 	 p.Stimulus
(65, 5):for 	 p.Theme
(65, 24):for 	 p.Beneficiary
(66, 5):for 	 p.Theme
(66, 8):for 	 p.Purpose
(66, 9):my 	 p.SocialRel
(66, 11):s 	 p.Possessor
(66, 20):my 	 p.Possessor
(67, 2):for 	 p.Theme
(68, 4):with 	 p.Recipient
(68, 9):our 	 p.Possessor
(69, 4):the 	 p.Goal
(69, 8):s 	 p.Beneficiary
(69, 11):to 	 p.Purpose
(70, 8):with 	 p.Agent
(71, 10):to 	 p.Experiencer
(72, 1):As 	 p.Identity
(73, 1):My 	 p.Originator
(74, 7):in 	 p.Locus
(75, 9):than 	 p.ComparisonRef
(75, 25):from 	 p.Source
(75, 33):to 	 p.Theme
(75, 35):back 	 p.Direction
(75, 36):from 	 p.Source
(75, 37):your 	 p.Theme
(76, 5):for 	 p.Theme
(77, 6):for 	 p.Purpose
(77, 8):before 	 p.Time
(78, 6):in 	 p.Locus
(79, 4):out 	 p.Direction
(79, 5):from 	 p.Source
(79, 12):for 	 p.Theme
(79, 18):to 	 p.Purpose
(79, 23):from 	 p.StartTime
(80, 11):as 	 p.Cost
(80, 13):as 	 p.ComparisonRef
(81, 7):before 	 p.Time
(81, 13):your 	 p.Theme
(82, 6):my 	 p.Possessor
(83, 6):in 	 p.Locus
(84, 5):for 	 p.Explanation
(84, 11):to 	 p.Purpose
(84, 21):on 	 p.Time
(85, 9):at 	 p.Time
(85, 12):to 	 p.Purpose
(86, 4):with 	 p.Agent
(86, 10):about 	 p.Topic
(86, 16):for 	 p.Purpose
(87, 12):to 	 p.Recipient
(87, 13):my 	 p.SocialRel
(88, 5):for 	 p.Explanation
(88, 6):your 	 p.Agent
(89, 9):s 	 p.Beneficiary
(90, 7):of 	 p.Species
(90, 15):in 	 p.Locus
(90, 18):of 	 p.QuantityItem
(91, 9):my 	 p.SocialRel
(92, 9):for 	 p.Duration
(93, 3):for 	 p.Purpose
(94, 3):their 	 p.Possessor
(95, 2):of 	 p.QuantityItem
(96, 5):for 	 p.Purpose
(97, 14):of 	 p.Experiencer
(98, 4):over 	 p.Direction
(98, 9):with 	 p.Theme
(99, 22):her 	 p.Experiencer
(100, 3):my 	 p.Gestalt
(101, 5):back 	 p.Direction
(102, 11):my 	 p.Experiencer
(103, 13):your 	 p.Gestalt
(103, 17):to 	 p.Purpose
(104, 7):from 	 p.Source
(105, 1):After 	 p.Time
(105, 6):on 	 p.Goal
(105, 7):my 	 p.Whole
(106, 17):with 	 p.Characteristic
(106, 21):my 	 p.Whole
(107, 11):my 	 p.Whole
(107, 14):throughout 	 p.Locus
(107, 15):my 	 p.Whole
(108, 4):around 	 p.Locus
(108, 20):your 	 p.Whole
(109, 4):my 	 p.Whole
(110, 7):for 	 p.Cost
(110, 13):like 	 p.Manner
(111, 5):back 	 p.Direction
(112, 8):on 	 p.Theme
(112, 11):of 	 p.Gestalt
(113, 3):my 	 p.Experiencer
(114, 5):for 	 p.Experiencer
(115, 2):AWAY 	 p.Locus
(116, 1):their 	 p.Originator
(116, 7):than 	 p.ComparisonRef
(117, 3):like 	 p.ComparisonRef
(117, 15):inside 	 p.Goal
(118, 3):like 	 p.Theme
(119, 14):to 	 p.Purpose
(119, 17):ur 	 p.Possessor
(120, 6):for 	 p.Purpose
(120, 11):as 	 p.Explanation
(120, 19):to 	 p.Goal
(121, 1):their 	 p.Originator
(121, 7):for 	 p.Experiencer
(122, 11):between 	 p.Goal
(122, 13):of 	 p.Stuff
(122, 15):for 	 p.Purpose
(123, 4):about 	 p.Approximator
(123, 12):to 	 p.Theme
(124, 5):on 	 p.Locus
(124, 7):at 	 p.Locus
(124, 16):before 	 p.Time
(125, 3):back 	 p.Interval
(125, 4):between 	 p.Time
(126, 11):of 	 p.Gestalt
(127, 11):for 	 p.Beneficiary
(127, 12):our 	 p.OrgMember
(127, 15):our 	 p.Possessor
(128, 2):my 	 p.SocialRel
(128, 8):apart 	 p.Time
(129, 7):for 	 p.Experiencer
(129, 8):my 	 p.OrgMember
(129, 24):of 	 p.Whole
(130, 5):in 	 p.Locus
(130, 6):his 	 p.Gestalt
(130, 8):as 	 p.Identity
(130, 20):for 	 p.Stimulus
(131, 17):in 	 p.Time
(132, 1):My 	 p.SocialRel
(132, 6):in 	 p.Characteristic
(132, 7):his 	 p.Agent
(132, 11):my 	 p.SocialRel
(132, 15):after 	 p.Time
(132, 19):with 	 p.Agent
(133, 2):my 	 p.SocialRel
(133, 5):as 	 p.Characteristic
(133, 7):as 	 p.ComparisonRef
(134, 4):for 	 p.Explanation
(134, 6):your 	 p.Agent
(135, 1):Before 	 p.Time
(135, 5):in 	 p.Locus
(136, 1):Their 	 p.Agent
(136, 10):on 	 p.Time
(136, 19):at 	 p.Locus
(137, 4):for 	 p.Purpose
(138, 13):back 	 p.Direction
(139, 4):for 	 p.Duration
(139, 7):at 	 p.Locus
(139, 10):in 	 p.Time
(140, 1):At 	 p.Time
(140, 4):on 	 p.Time
(140, 16):in 	 p.Locus
(140, 17):my 	 p.Possessor
(141, 1):After 	 p.Time
(141, 3):for 	 p.Theme
(141, 5):of 	 p.Topic
(142, 6):with 	 p.Agent
(143, 24):to 	 p.Experiencer
(144, 17):of 	 p.Gestalt
(144, 20):until 	 p.EndTime
(144, 24):for 	 p.Purpose
(145, 13):with 	 p.Topic
(146, 10):through 	 p.Duration
(147, 3):in 	 p.Locus
(148, 10):around 	 p.Locus
(149, 5):with 	 p.Stimulus
(149, 11):from 	 p.Originator
(150, 6):to 	 p.Recipient
(151, 12):with 	 p.Experiencer
(152, 5):about 	 p.Topic
(152, 8):for 	 p.Theme
(153, 3):of 	 p.Species
(154, 7):my 	 p.Possessor
(154, 9):with 	 p.Theme
(155, 4):of 	 p.Whole
(155, 14):out 	 p.Agent
(155, 19):to 	 p.Goal
(156, 8):by 	 p.Agent
(157, 4):from 	 p.PartPortion
(158, 9):as 	 p.Identity
(159, 2):at 	 p.Org
(159, 22):to 	 p.Recipient
(159, 28):back 	 p.Direction
(160, 9):with 	 p.Characteristic
(161, 10):since 	 p.Explanation
(162, 9):their 	 p.Agent
(163, 10):my 	 p.Possessor
(164, 5):to 	 p.Theme
(164, 14):my 	 p.Possessor
(164, 16):to 	 p.Goal
(164, 22):for 	 p.Duration
(165, 11):as 	 p.Duration
(165, 21):like 	 p.ComparisonRef
(166, 1):My 	 p.Experiencer
(166, 3):with 	 p.Topic
(166, 10):of 	 p.Characteristic
(167, 9):than 	 p.ComparisonRef
(168, 1):On 	 p.Time
(168, 9):from 	 p.Originator
(169, 1):After 	 p.Time
(169, 9):at 	 p.Locus
(169, 10):my 	 p.Possessor
(169, 12):minus 	 p.Possession
(170, 9):at 	 p.Locus
(171, 5):on 	 p.Possession
(171, 16):on 	 p.Locus
(172, 1):Upon 	 p.Time
(172, 14):of 	 p.Stuff
(172, 18):on 	 p.Whole
(172, 32):to 	 p.Purpose
(172, 43):in 	 p.Direction
(172, 49):into 	 p.Direction
(173, 1):After 	 p.Time
(173, 3):on 	 p.Time
(173, 6):to 	 p.Recipient
(173, 32):up 	 p.Locus
(173, 33):to 	 p.Purpose
(173, 41):at 	 p.Time
(173, 46):at 	 p.Time
(173, 56):at 	 p.Time
(174, 4):at 	 p.Gestalt
(174, 12):their 	 p.Originator
(175, 7):of 	 p.Org
(175, 14):in 	 p.Locus
(175, 15):their 	 p.Possessor
(175, 20):in 	 p.Locus
(175, 22):'s 	 p.Possessor
(176, 14):up 	 p.Direction
(177, 1):Our 	 p.Agent
(178, 4):our 	 p.Agent
(178, 6):on 	 p.Time
(179, 13):with 	 p.Agent
(180, 3):In 	 p.Locus
(181, 1):Their 	 p.Originator
(182, 14):like 	 p.ComparisonRef
(182, 19):at 	 p.Locus
(182, 34):in 	 p.Time
(183, 17):in 	 p.Locus
(183, 27):for 	 p.Cost
(184, 3):my 	 p.Agent
(184, 9):for 	 p.Theme
(185, 2):for 	 p.Explanation
(186, 4):for 	 p.Duration
(187, 5):in 	 p.Locus
(187, 12):through 	 p.Path
(187, 20):of 	 p.Gestalt
(188, 13):to 	 p.Stimulus
(188, 32):OVER 	 p.Path
(188, 35):'s 	 p.Possessor
(189, 17):your 	 p.SocialRel
(190, 7):at 	 p.Locus
(191, 20):my 	 p.Whole
(191, 28):her 	 p.SocialRel
(191, 30):to 	 p.Purpose
(191, 33):my 	 p.Whole
(192, 5):my 	 p.Gestalt
(193, 3):at 	 p.Cost
(194, 4):nearby 	 p.Goal
(194, 9):of 	 p.QuantityItem
(195, 15):on 	 p.Time
(196, 1):Their 	 p.Originator
(196, 7):of 	 p.Whole
(197, 4):in 	 p.Locus
(198, 19):ago 	 p.Time
(199, 4):on 	 p.Locus
(199, 9):of 	 p.Gestalt
(199, 17):as 	 p.Explanation
(200, 4):after 	 p.Time
(200, 5):my 	 p.Agent
(200, 11):at 	 p.Locus
(201, 8):with 	 p.Theme
(201, 10):of 	 p.QuantityItem
(202, 11):to 	 p.Purpose
(202, 16):with 	 p.Agent
(202, 18):to 	 p.Purpose
(202, 20):your 	 p.Possessor
(202, 24):for 	 p.Purpose
(202, 27):your 	 p.Experiencer
(203, 7):with 	 p.Agent
(203, 18):to 	 p.Purpose
(203, 29):for 	 p.Purpose
(203, 34):about 	 p.Topic
(204, 12):back 	 p.Direction
(204, 13):for 	 p.Purpose
(205, 2):by 	 p.Stimulus
(206, 6):with 	 p.Characteristic
(206, 22):their 	 p.Originator
(207, 18):out 	 p.Locus
(207, 21):in 	 p.Locus
(207, 23):before 	 p.Time
(208, 4):her 	 p.SocialRel
(208, 14):of 	 p.Gestalt
(208, 16):my 	 p.SocialRel
(209, 8):with 	 p.Beneficiary
(209, 19):with 	 p.Beneficiary
(210, 6):to 	 p.Purpose
(210, 8):on 	 p.Org
(210, 10):'s 	 p.SocialRel
(211, 7):from 	 p.Locus
(211, 8):her 	 p.SocialRel
(211, 16):my 	 p.SocialRel
(212, 3):in 	 p.Direction
(212, 4):to 	 p.Purpose
(212, 6):our 	 p.SocialRel
(212, 9):at 	 p.Time
(212, 12):to 	 p.Time
(212, 17):from 	 p.Originator
(213, 5):than 	 p.ComparisonRef
(214, 1):Their 	 p.Gestalt
(214, 19):in 	 p.Direction
(215, 3):since 	 p.Time
(215, 19):as 	 p.Explanation
(215, 24):our 	 p.Experiencer
(215, 28):after 	 p.Explanation
(216, 3):about 	 p.Approximator
(216, 5):of 	 p.QuantityItem
(216, 10):from 	 p.Originator
(217, 10):in 	 p.Instrument
(218, 9):of 	 p.QuantityItem
(218, 10):my 	 p.Possessor
(218, 12):within 	 p.Duration
(219, 24):except 	 p.PartPortion
(220, 11):to 	 p.Goal
(220, 13):for 	 p.Duration
(220, 16):WITHOUT 	 p.Circumstance
(221, 10):at 	 p.Org
(221, 13):about 	 p.Topic
(222, 5):at 	 p.Org
(223, 4):in 	 p.Instrument
(223, 16):of 	 p.Topic
(223, 17):my 	 p.Agent
(224, 3):back 	 p.Direction
(224, 4):with 	 p.Possession
(224, 10):upon 	 p.Time
(224, 11):my 	 p.Agent
(225, 11):to 	 p.Purpose
(225, 14):my 	 p.Possessor
(226, 12):my 	 p.Possessor
(227, 13):on 	 p.Possession
(227, 40):to 	 p.Purpose
(228, 5):of 	 p.Identity
(228, 7):from 	 p.Originator
(229, 6):for 	 p.Possession
(229, 9):with 	 p.PartPortion
(230, 1):Their 	 p.SocialRel
(230, 17):with 	 p.Theme
(231, 8):under 	 p.Locus
(231, 11):of 	 p.Identity
(232, 7):to 	 p.Goal
(233, 15):from 	 p.Originator
(233, 21):to 	 p.Purpose
(233, 25):his 	 p.OrgMember
(233, 35):of 	 p.Stuff
(234, 2):your 	 p.SocialRel
(234, 6):with 	 p.Instrument
(234, 7):my 	 p.Possessor
(235, 3):at 	 p.Time
(235, 4):around 	 p.Approximator
(235, 9):at 	 p.Time
(235, 20):out 	 p.Locus
(235, 21):for 	 p.Duration
(235, 30):before 	 p.Time
(236, 10):with 	 p.Ensemble
(237, 5):back 	 p.Direction
(238, 14):without 	 p.Circumstance
(239, 20):fo 	 p.Theme
(239, 22):round 	 p.Locus
(240, 7):my 	 p.Possessor
(241, 15):about 	 p.Stimulus
(241, 16):her 	 p.Recipient
(242, 14):of 	 p.QuantityItem
(243, 24):about 	 p.Approximator
(243, 27):from 	 p.StartTime
(243, 29):to 	 p.EndTime
(244, 8):by 	 p.Time
(245, 1):Their 	 p.Originator
(245, 11):my 	 p.Gestalt
(246, 4):from 	 p.Agent
(247, 6):like 	 p.Manner
(247, 15):your 	 p.Agent
(248, 11):with 	 p.Beneficiary
(249, 6):with 	 p.Org
(250, 6):of 	 p.QuantityItem
(250, 9):to 	 p.Purpose
(250, 11):from 	 p.Whole
(250, 12):in 	 p.Locus
(251, 11):our 	 p.Possessor
(251, 29):our 	 p.Possessor
(252, 1):Since 	 p.Time
(252, 10):our 	 p.Possessor
(252, 16):as 	 p.ComparisonRef
(253, 2):in 	 p.Locus
(254, 3):in 	 p.Locus
(254, 16):her 	 p.SocialRel
(255, 10):in 	 p.Locus
(256, 7):of 	 p.Identity
(257, 7):of 	 p.Identity
(257, 20):with 	 p.Stimulus
(258, 7):for 	 p.Stimulus
(258, 8):their 	 p.Gestalt
(258, 13):my 	 p.OrgMember
(258, 22):for 	 p.Duration
(259, 6):back 	 p.Direction
(260, 13):at 	 p.Locus
(261, 3):in 	 p.Locus
(261, 6):for 	 p.Purpose
(261, 11):our 	 p.SocialRel
(261, 20):their 	 p.SocialRel
(261, 22):to 	 p.Purpose
(261, 24):at 	 p.Locus
(262, 15):her 	 p.SocialRel
(263, 12):to 	 p.Purpose
(264, 7):back 	 p.Direction
(264, 8):to 	 p.Goal
(264, 12):to 	 p.Goal
(264, 18):my 	 p.SocialRel
(264, 26):with 	 p.SocialRel
(264, 37):about 	 p.Topic
(264, 39):since 	 p.StartTime
(265, 8):on 	 p.Circumstance
(265, 9):your 	 p.Agent
(265, 12):to 	 p.Goal
(266, 6):to 	 p.Purpose
(266, 9):our 	 p.Recipient
(266, 11):back 	 p.Direction
(266, 12):in 	 p.Time
(267, 15):for 	 p.Theme
(267, 19):from 	 p.Source
(267, 21):to 	 p.Purpose
(267, 24):our 	 p.Possessor
(268, 1):Our 	 p.Possessor
(268, 6):in 	 p.Time
(268, 11):their 	 p.Possessor
(268, 20):for 	 p.Duration
(269, 1):Within 	 p.Time
(269, 7):of 	 p.QuantityItem
(269, 10):on 	 p.Whole
(269, 11):our 	 p.Possessor
(269, 19):in 	 p.Direction
(270, 3):our 	 p.SocialRel
(271, 11):to 	 p.Recipient
(271, 17):out 	 p.Direction
(271, 18):to 	 p.Purpose
(271, 20):at 	 p.Stimulus
(272, 16):for 	 p.Duration
(272, 35):of 	 p.Whole
(273, 13):about 	 p.Topic
(274, 6):over 	 p.Approximator
(274, 9):for 	 p.Possession
(275, 4):about 	 p.Topic
(276, 5):at 	 p.Time
(276, 18):to 	 p.Purpose
(276, 35):to 	 p.ComparisonRef
(276, 39):in 	 p.Locus
(276, 45):through 	 p.Path
(276, 58):with 	 p.Theme
(277, 32):about 	 p.Topic
(277, 40):your 	 p.Possessor
(278, 2):AWAY 	 p.Locus
(279, 4):under 	 p.ComparisonRef
(279, 7):of 	 p.QuantityItem
(280, 16):for 	 p.Explanation
(280, 17):their 	 p.Agent
(280, 32):to 	 p.Goal
(280, 38):my 	 p.Experiencer
(281, 5):with 	 p.Topic
(282, 8):to 	 p.Goal
(283, 7):from 	 p.Source
(283, 8):its 	 p.Gestalt
(283, 12):to 	 p.Goal
(283, 16):on 	 p.Locus
(284, 17):in 	 p.Locus
(285, 10):with 	 p.PartPortion
(286, 8):for 	 p.Duration
(286, 9):over 	 p.Approximator
(287, 1):My 	 p.Experiencer
(287, 4):at 	 p.Locus
(288, 5):to 	 p.Goal
(288, 10):for 	 p.Duration
(288, 11):over 	 p.Approximator
(288, 14):for 	 p.Purpose
(289, 9):in 	 p.Locus
(289, 20):for 	 p.Theme
(290, 5):from 	 p.Agent
(290, 14):like 	 p.Manner
(290, 19):in 	 p.Locus
(290, 22):of 	 p.Whole
(291, 5):of 	 p.Gestalt
(292, 4):in 	 p.Circumstance
(292, 10):ago 	 p.Time
(292, 12):since 	 p.StartTime
(293, 5):of 	 p.SocialRel
(293, 20):for 	 p.Theme
(294, 8):as 	 p.Identity
(294, 28):in 	 p.Circumstance
(295, 9):before 	 p.Time
(295, 13):in 	 p.Goal
(296, 5):my 	 p.Recipient
(296, 11):on 	 p.Time
(296, 22):my 	 p.Agent
(296, 24):with 	 p.Theme
(296, 25):my 	 p.Experiencer
(296, 31):into 	 p.Goal
(296, 33):my 	 p.Recipient
(297, 3):before 	 p.Time
(297, 4):my 	 p.Recipient
(297, 12):from 	 p.Originator
(297, 16):of 	 p.Topic
(297, 17):his 	 p.Agent
(298, 1):My 	 p.Whole
(298, 4):as 	 p.Circumstance
(298, 7):down 	 p.Direction
(298, 12):upon 	 p.Time
(298, 15):in 	 p.Locus
(299, 3):of 	 p.Topic
(300, 5):since 	 p.Explanation
(301, 9):for 	 p.Explanation
(301, 13):with 	 p.Theme
(301, 14):my 	 p.Experiencer
(302, 1):To 	 p.Recipient
(302, 2):my 	 p.SocialRel
(302, 7):for 	 p.Explanation
(302, 8):your 	 p.Originator
(302, 15):your 	 p.Originator
(302, 17):in 	 p.Circumstance
(303, 9):of 	 p.QuantityItem
(304, 1):Atop 	 p.Locus
(304, 5):from 	 p.Locus
(304, 8):of 	 p.Whole
(304, 21):of 	 p.Identity
(305, 13):near 	 p.Locus
(306, 5):on 	 p.Locus
(306, 8):in 	 p.Time
(307, 10):with 	 p.Agent
(308, 6):than 	 p.ComparisonRef
(309, 10):of 	 p.Species
(310, 5):back 	 p.Locus
(311, 2):with 	 p.Theme
(312, 7):for 	 p.Beneficiary
(312, 10):like 	 p.Identity
(313, 6):my 	 p.Experiencer
(313, 8):my 	 p.SocialRel
(313, 11):' 	 p.Experiencer
(313, 20):with 	 p.Characteristic
(314, 5):of 	 p.Whole
(314, 10):at 	 p.Time
(314, 14):of 	 p.Whole
(315, 31):to 	 p.Recipient
(316, 14):to 	 p.ComparisonRef
(317, 4):for 	 p.Experiencer
(317, 7):of 	 p.QuantityItem
(317, 11):together 	 p.Ancillary
(317, 15):of 	 p.QuantityItem
(317, 20):for 	 p.Purpose
(317, 27):from 	 p.Source
(317, 28):our 	 p.Whole
(317, 37):of 	 p.QuantityItem
(318, 8):of 	 p.Stuff
(318, 11):with 	 p.Characteristic
(318, 14):to 	 p.ComparisonRef
(318, 23):at 	 p.Locus
(319, 11):at 	 p.Locus
(320, 22):of 	 p.Identity
(320, 24):their 	 p.SocialRel
(321, 6):into 	 p.Goal
(321, 16):as 	 p.ComparisonRef
(321, 17):its 	 p.Gestalt
(321, 22):as 	 p.ComparisonRef
(322, 21):before 	 p.Time
(323, 6):for 	 p.Purpose
(323, 18):their 	 p.Gestalt
(324, 4):at 	 p.Time
(324, 9):circa 	 p.Time
(325, 22):with 	 p.Stimulus
(325, 23):our 	 p.Experiencer
(326, 15):of 	 p.Species
(327, 6):for 	 p.Cost
(328, 3):at 	 p.Cost
(328, 8):in 	 p.Locus
(329, 7):from 	 p.Agent
(329, 13):in 	 p.Locus
(329, 24):of 	 p.Species
(330, 4):my 	 p.Possessor
(330, 7):through 	 p.Means
(330, 8):their 	 p.Agent
(330, 22):to 	 p.Goal
(330, 32):away 	 p.Locus
(330, 43):to 	 p.Goal
(330, 44):our 	 p.SocialRel
(330, 50):at 	 p.Org
(330, 53):in 	 p.Locus
(331, 1):My 	 p.SocialRel
(331, 8):my 	 p.Gestalt
(331, 36):for 	 p.Theme
(332, 10):our 	 p.Possessor
(332, 12):back 	 p.Direction
(332, 17):after 	 p.Time
(332, 20):out 	 p.Locus
(332, 21):from 	 p.Source
(333, 9):of 	 p.QuantityItem
(333, 13):from 	 p.Source
(333, 15):to 	 p.Goal
(334, 8):with 	 p.Agent
(335, 6):for 	 p.Theme
(336, 10):about 	 p.Topic
(336, 15):within 	 p.Locus
(336, 16):his 	 p.OrgMember
(337, 7):of 	 p.Stimulus
(337, 16):on 	 p.Topic
(338, 12):of 	 p.Species
(338, 15):their 	 p.Gestalt
(338, 18):to 	 p.Purpose
(338, 20):to 	 p.Goal
(339, 6):from 	 p.StartTime
(340, 5):of 	 p.Theme
(340, 9):of 	 p.QuantityItem
(340, 11):ago 	 p.Time
(341, 6):for 	 p.Beneficiary
(342, 11):at 	 p.Locus
(342, 16):as 	 p.ComparisonRef
(342, 17):in 	 p.Locus
